Strategy,PitLaps,RaceTime
SOFT-MEDIUM-HARD,"[21, 33]",5648.4402909090895
MEDIUM-SOFT-HARD,"[12, 33]",5648.44029090909
MEDIUM-HARD-SOFT,"[12, 36]",5648.440290909091
HARD-MEDIUM-SOFT,"[24, 36]",5648.440290909091
MEDIUM-SOFT-HARD,"[14, 44]",5648.456660606059
MEDIUM-HARD-SOFT,"[14, 27]",5648.456660606061
HARD-SOFT-MEDIUM,"[13, 43]",5648.456660606062
HARD-MEDIUM-SOFT,"[13, 27]",5648.4566606060625
MEDIUM-SOFT-HARD,"[16, 44]",5648.623557575757
MEDIUM-HARD-SOFT,"[16, 29]",5648.623557575757
HARD-MEDIUM-SOFT,"[13, 29]",5648.623557575757
HARD-SOFT-MEDIUM,"[13, 41]",5648.623557575758
SOFT-HARD-MEDIUM,"[23, 39]",5648.6557696969685
SOFT-MEDIUM-HARD,"[23, 41]",5648.6557696969685
MEDIUM-SOFT-HARD,"[18, 41]",5648.6557696969685
MEDIUM-HARD-SOFT,"[18, 34]",5648.6557696969685
HARD-MEDIUM-SOFT,"[16, 34]",5648.65576969697
HARD-SOFT-MEDIUM,"[16, 39]",5648.65576969697
HARD-SOFT,[17],5648.673436363637
MEDIUM-HARD-SOFT,"[17, 37]",5648.679272727271
MEDIUM-SOFT-HARD,"[17, 37]",5648.679272727271
SOFT-MEDIUM-HARD,"[20, 37]",5648.679272727271
SOFT-HARD-MEDIUM,"[20, 40]",5648.679272727272
HARD-MEDIUM-SOFT,"[20, 37]",5648.679272727273
HARD-SOFT-MEDIUM,"[20, 40]",5648.679272727274
SOFT-MEDIUM-HARD,"[22, 40]",5648.68649090909
SOFT-HARD-MEDIUM,"[22, 39]",5648.68649090909
MEDIUM-SOFT-HARD,"[18, 40]",5648.68649090909
MEDIUM-HARD-SOFT,"[18, 35]",5648.686490909091
HARD-SOFT-MEDIUM,"[17, 39]",5648.686490909092
HARD-MEDIUM-SOFT,"[17, 35]",5648.686490909093
MEDIUM-SOFT-HARD,"[13, 44]",5648.794284848484
MEDIUM-HARD-SOFT,"[13, 26]",5648.794284848484
HARD-SOFT-MEDIUM,"[13, 44]",5648.794284848485
HARD-MEDIUM-SOFT,"[13, 26]",5648.794284848485
SOFT-HARD,[26],5648.824678787877
HARD-SOFT,[31],5648.824678787879
SOFT-MEDIUM-HARD,"[24, 42]",5648.8499999999985
