Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTimeSec
0 days 01:04:39.391000,OCO,31,0 days 00:01:39.086000,17.0,2,,,0 days 00:00:31.574000,0 days 00:00:42.781000,0 days 00:00:24.731000,0 days 01:03:31.879000,0 days 01:04:14.660000,0 days 01:04:39.391000,225.0,253.0,271.0,287.0,False,SOFT,12.0,False,Alpine,0 days 01:03:00.305000,2022-03-18 15:48:00.337,1,,False,,False,True,99.086
0 days 01:06:18.683000,OCO,31,0 days 00:01:39.292000,18.0,2,,,0 days 00:00:31.704000,0 days 00:00:42.902000,0 days 00:00:24.686000,0 days 01:05:11.095000,0 days 01:05:53.997000,0 days 01:06:18.683000,226.0,254.0,270.0,293.0,False,SOFT,13.0,False,Alpine,0 days 01:04:39.391000,2022-03-18 15:49:39.423,1,,False,,False,True,99.292
0 days 01:07:57.969000,OCO,31,0 days 00:01:39.286000,19.0,2,,,0 days 00:00:31.796000,0 days 00:00:42.789000,0 days 00:00:24.701000,0 days 01:06:50.479000,0 days 01:07:33.268000,0 days 01:07:57.969000,224.0,254.0,270.0,286.0,False,SOFT,14.0,False,Alpine,0 days 01:06:18.683000,2022-03-18 15:51:18.715,1,,False,,False,True,99.286
0 days 01:09:59.368000,SAI,55,0 days 00:01:38.651000,16.0,2,,,0 days 00:00:31.821000,0 days 00:00:42.517000,0 days 00:00:24.313000,0 days 01:08:52.538000,0 days 01:09:35.055000,0 days 01:09:59.368000,226.0,246.0,268.0,277.0,False,SOFT,6.0,False,Ferrari,0 days 01:08:20.717000,2022-03-18 15:53:20.749,1,,False,,False,True,98.651
0 days 01:11:37.806000,SAI,55,0 days 00:01:38.438000,17.0,2,,,0 days 00:00:31.711000,0 days 00:00:42.377000,0 days 00:00:24.350000,0 days 01:10:31.079000,0 days 01:11:13.456000,0 days 01:11:37.806000,226.0,248.0,268.0,281.0,False,SOFT,7.0,False,Ferrari,0 days 01:09:59.368000,2022-03-18 15:54:59.400,1,,False,,False,True,98.438
0 days 01:13:16.213000,SAI,55,0 days 00:01:38.407000,18.0,2,,,0 days 00:00:31.611000,0 days 00:00:42.437000,0 days 00:00:24.359000,0 days 01:12:09.417000,0 days 01:12:51.854000,0 days 01:13:16.213000,227.0,249.0,269.0,284.0,False,SOFT,8.0,False,Ferrari,0 days 01:11:37.806000,2022-03-18 15:56:37.838,1,,False,,False,True,98.407
0 days 01:14:54.750000,SAI,55,0 days 00:01:38.537000,19.0,2,,,0 days 00:00:31.699000,0 days 00:00:42.328000,0 days 00:00:24.510000,0 days 01:13:47.912000,0 days 01:14:30.240000,0 days 01:14:54.750000,226.0,249.0,268.0,283.0,False,SOFT,9.0,False,Ferrari,0 days 01:13:16.213000,2022-03-18 15:58:16.245,1,,False,,False,True,98.537
0 days 01:16:33.326000,SAI,55,0 days 00:01:38.576000,20.0,2,,,0 days 00:00:31.720000,0 days 00:00:42.510000,0 days 00:00:24.346000,0 days 01:15:26.470000,0 days 01:16:08.980000,0 days 01:16:33.326000,227.0,249.0,269.0,283.0,False,SOFT,10.0,False,Ferrari,0 days 01:14:54.750000,2022-03-18 15:59:54.782,1,,False,,False,True,98.576
0 days 01:01:17.604000,RUS,63,0 days 00:01:38.514000,14.0,2,,,0 days 00:00:32.137000,0 days 00:00:41.899000,0 days 00:00:24.478000,0 days 01:00:11.227000,0 days 01:00:53.126000,0 days 01:01:17.604000,229.0,255.0,263.0,260.0,False,SOFT,6.0,False,Mercedes,0 days 00:59:39.090000,2022-03-18 15:44:39.122,1,,False,,False,True,98.514
0 days 01:02:55.854000,RUS,63,0 days 00:01:38.250000,15.0,2,,,0 days 00:00:31.516000,0 days 00:00:42.302000,0 days 00:00:24.432000,0 days 01:01:49.120000,0 days 01:02:31.422000,0 days 01:02:55.854000,228.0,251.0,266.0,302.0,False,SOFT,7.0,False,Mercedes,0 days 01:01:17.604000,2022-03-18 15:46:17.636,1,,False,,False,True,98.25
0 days 01:04:34.172000,RUS,63,0 days 00:01:38.318000,16.0,2,,,0 days 00:00:31.570000,0 days 00:00:42.340000,0 days 00:00:24.408000,0 days 01:03:27.424000,0 days 01:04:09.764000,0 days 01:04:34.172000,228.0,250.0,265.0,297.0,False,SOFT,8.0,False,Mercedes,0 days 01:02:55.854000,2022-03-18 15:47:55.886,1,,False,,False,True,98.318
0 days 01:06:12.760000,RUS,63,0 days 00:01:38.588000,17.0,2,,,0 days 00:00:31.737000,0 days 00:00:42.258000,0 days 00:00:24.593000,0 days 01:05:05.909000,0 days 01:05:48.167000,0 days 01:06:12.760000,228.0,254.0,264.0,282.0,False,SOFT,9.0,False,Mercedes,0 days 01:04:34.172000,2022-03-18 15:49:34.204,1,,False,,False,True,98.588
